1697966080.996559970;k1: 1.0
1697966080.997052309;k2: 5.0
1697966080.997491329;Max_linear: 10.0
1697966080.997983120;Max_angular: 10.0
1697966080.998498267;Target_distance: 1.0
time;side;closest_point_dist;relative_dist;angular_vel;linear_vel
1697966093.986893488;right;2.5917;-1.5917;0.3584;1.0000
1697966093.997108169;right;2.5880;-1.5880;0.3621;1.0000
1697966094.012874588;right;2.5844;-1.5844;0.3657;1.0000
1697966094.024463144;right;2.5807;-1.5807;0.3694;1.0000
1697966094.040731777;right;2.5771;-1.5771;0.3730;1.0000
1697966094.048309208;right;2.5734;-1.5734;0.2892;1.0000
1697966094.057307827;right;2.5698;-1.5698;0.2929;1.0000
1697966094.069165736;right;2.5661;-1.5661;0.2965;1.0000
1697966094.090679450;right;2.5625;-1.5625;0.3001;1.0000
1697966094.103854701;right;2.5589;-1.5589;0.3037;1.0000
1697966094.116651941;right;2.5554;-1.5554;0.3072;1.0000
1697966094.123430861;right;2.5518;-1.5518;0.3108;1.0000
1697966094.138484875;right;2.5483;-1.5483;0.3143;1.0000
1697966094.147015650;right;2.5448;-1.5448;0.3178;1.0000
1697966094.158109605;right;2.5413;-1.5413;0.3213;1.0000
1697966094.166787470;right;2.5378;-1.5378;0.3248;1.0000
1697966094.176104500;right;2.5343;-1.5343;0.2408;1.0000
1697966094.185039697;right;2.5308;-1.5308;0.2443;1.0000
1697966094.198092343;right;2.5273;-1.5273;0.2478;1.0000
1697966094.211828763;right;2.5239;-1.5239;0.2513;1.0000
1697966094.230514293;right;2.5204;-1.5204;0.2547;1.0000
1697966094.242688703;right;2.5170;-1.5170;0.2581;1.0000
1697966094.248788854;right;2.5136;-1.5136;0.2615;1.0000
1697966094.257884540;right;2.5102;-1.5102;0.2649;1.0000
1697966094.283859832;right;2.5051;-1.5051;0.2700;1.0000
1697966094.286616128;right;2.5018;-1.5018;0.2734;1.0000
1697966094.297141169;right;2.4985;-1.4985;0.2767;1.0000
1697966094.306721806;right;2.4952;-1.4952;0.2800;1.0000
1697966094.320480394;right;2.4918;-1.4918;0.1958;1.0000
1697966094.326618190;right;2.4885;-1.4885;0.1992;1.0000
1697966094.341552748;right;2.4852;-1.4852;0.2025;1.0000
1697966094.360529736;right;2.4816;-1.4816;0.2061;1.0000
1697966094.370174625;right;2.4786;-1.4786;0.2091;1.0000
1697966094.377676287;right;2.4753;-1.4753;0.2124;1.0000
1697966094.384899982;right;2.4721;-1.4721;0.2156;1.0000
1697966094.393606452;right;2.4688;-1.4688;0.2189;1.0000
1697966094.411643348;right;2.4656;-1.4656;0.2221;1.0000
1697966094.428136358;right;2.4623;-1.4623;0.2253;1.0000
1697966094.446171007;right;2.4591;-1.4591;0.2286;1.0000
1697966094.451720295;right;2.4559;-1.4559;0.2318;1.0000
1697966094.464923795;right;2.4527;-1.4527;0.2349;1.0000
1697966094.474380047;right;2.4496;-1.4496;0.2381;1.0000
1697966094.484632446;right;2.4464;-1.4464;0.2413;1.0000
1697966094.496114756;right;2.4433;-1.4433;0.1570;1.0000
1697966094.506864645;right;2.4401;-1.4401;0.1601;1.0000
1697966094.515534032;right;2.4369;-1.4369;0.1633;1.0000
1697966094.528604888;right;2.4338;-1.4338;0.1665;1.0000
1697966094.542414512;right;2.4306;-1.4306;0.1696;1.0000
1697966094.557054420;right;2.4275;-1.4275;0.1727;1.0000
1697966094.565520055;right;2.4244;-1.4244;0.1759;1.0000
1697966094.576980972;right;2.4213;-1.4213;0.1790;1.0000
1697966094.594455441;right;2.4182;-1.4182;0.1821;1.0000
1697966094.610006345;right;2.4151;-1.4151;0.1852;1.0000
1697966094.625042023;right;2.4120;-1.4120;0.1882;1.0000
1697966094.638043080;right;2.4089;-1.4089;0.1913;1.0000
1697966094.644312782;right;2.4059;-1.4059;0.1944;1.0000
1697966094.652884507;right;2.4028;-1.4028;0.1974;1.0000
1697966094.660993007;right;2.3998;-1.3998;0.2004;1.0000
1697966094.680715625;right;2.3967;-1.3967;0.2035;1.0000
1697966094.689964223;right;2.3937;-1.3937;0.2065;1.0000
1697966094.694225171;right;2.3907;-1.3907;0.2095;1.0000
1697966094.702446760;right;2.3877;-1.3877;0.2125;1.0000
1697966094.709748737;right;2.3847;-1.3847;0.1280;1.0000
1697966094.717539734;right;2.3817;-1.3817;0.1310;1.0000
1697966094.730079504;right;2.3787;-1.3787;0.1340;1.0000
1697966094.746134451;right;2.3758;-1.3758;0.1370;1.0000
1697966094.762206822;right;2.3728;-1.3728;0.1400;1.0000
1697966094.778596255;right;2.3698;-1.3698;0.1429;1.0000
1697966094.789825383;right;2.3669;-1.3669;0.1459;1.0000
1697966094.802788834;right;2.3639;-1.3639;0.1488;1.0000
1697966094.813577999;right;2.3610;-1.3610;0.1518;1.0000
1697966094.833013690;right;2.3578;-1.3578;0.1550;1.0000
1697966094.840892696;right;2.3551;-1.3551;0.1576;1.0000
1697966094.848796901;right;2.3522;-1.3522;0.1606;1.0000
1697966094.858506346;right;2.3493;-1.3493;0.1635;1.0000
1697966094.867496760;right;2.3464;-1.3464;0.1664;1.0000
1697966094.886327829;right;2.3435;-1.3435;0.1692;1.0000
1697966094.898916451;right;2.3406;-1.3406;0.1721;1.0000
1697966094.900943917;right;2.3378;-1.3378;0.1750;1.0000
1697966094.909896548;right;2.3349;-1.3349;0.1778;1.0000
1697966094.918377931;right;2.3321;-1.3321;0.1807;1.0000
1697966094.928353667;right;2.3292;-1.3292;0.1835;1.0000
1697966094.944023318;right;2.3264;-1.3264;0.1864;1.0000
1697966094.951605533;right;2.3236;-1.3236;0.1017;1.0000
1697966094.963790472;right;2.3207;-1.3207;0.1046;1.0000
1697966094.972042241;right;2.3179;-1.3179;0.1074;1.0000
1697966094.979095519;right;2.3151;-1.3151;0.1102;1.0000
1697966094.990759176;right;2.3123;-1.3123;0.1130;1.0000
1697966094.998767845;right;2.3094;-1.3094;0.1158;1.0000
1697966095.038208309;right;2.3037;-1.3037;5.3695;0.2000
1697966095.043215118;right;2.2939;-1.2939;5.2918;0.2000
1697966095.054097603;right;2.2840;-1.2840;5.3017;0.2000
1697966095.061339239;right;2.2748;-1.2748;5.3109;0.2000
1697966095.080411165;right;2.2649;-1.2649;5.3208;0.2000
1697966095.092251478;right;2.2562;-1.2562;5.3296;0.2000
1697966095.106625850;right;2.2476;-1.2476;5.3381;0.2000
1697966095.117795550;right;2.2373;-1.2373;5.2609;0.2000
1697966095.125968691;right;2.2299;-1.2299;5.2684;0.2000
1697966095.142358655;right;2.2219;-1.2219;5.2764;0.2000
1697966095.158780784;right;2.2141;-1.2141;5.2841;0.2000
1697966095.168209796;right;2.2066;-1.2066;5.2917;0.2000
1697966095.174789512;right;2.1992;-1.1992;5.2991;0.2000
1697966095.183031872;right;2.1919;-1.1919;5.2189;0.2000
1697966095.193240367;right;2.1848;-1.1848;5.2260;0.2000
1697966095.203609581;right;2.1779;-1.1779;5.2329;0.2000
1697966095.234575342;right;2.1687;-1.1687;5.2421;0.2000
1697966095.238369516;right;2.1649;-1.1649;5.2459;0.2000
1697966095.245082067;right;2.1587;-1.1587;5.2522;0.2000
1697966095.254132381;right;2.1526;-1.1526;5.2582;0.2000
1697966095.259925258;right;2.1467;-1.1467;5.1766;0.2000
1697966095.268912917;right;2.1410;-1.1410;5.1823;0.2000
1697966095.284749518;right;2.1355;-1.1355;5.1878;0.2000
1697966095.299013234;right;2.1303;-1.1303;5.1931;0.2000
1697966095.311107298;right;2.1252;-1.1252;5.1982;0.2000
1697966095.322995431;right;2.1203;-1.1203;5.2031;0.2000
1697966095.330343257;right;2.1156;-1.1156;5.2078;0.2000
